"","Date","Cumulative.Cases","Daily.Cases"
"1",2020-01-22,0,NA
"2",2020-01-23,0,0
"3",2020-01-24,0,0
"4",2020-01-25,3,3
"5",2020-01-26,4,1
"6",2020-01-27,4,0
"7",2020-01-28,4,0
"8",2020-01-29,7,3
"9",2020-01-30,8,1
"10",2020-01-31,8,0
"11",2020-02-01,8,0
"12",2020-02-02,8,0
"13",2020-02-03,8,0
"14",2020-02-04,10,2
"15",2020-02-05,12,2
"16",2020-02-06,12,0
"17",2020-02-07,12,0
"18",2020-02-08,16,4
"19",2020-02-09,16,0
"20",2020-02-10,18,2
"21",2020-02-11,18,0
"22",2020-02-12,18,0
"23",2020-02-13,19,1
"24",2020-02-14,19,0
"25",2020-02-15,22,3
"26",2020-02-16,22,0
"27",2020-02-17,22,0
"28",2020-02-18,22,0
"29",2020-02-19,22,0
"30",2020-02-20,22,0
"31",2020-02-21,22,0
"32",2020-02-22,22,0
"33",2020-02-23,22,0
"34",2020-02-24,22,0
"35",2020-02-25,22,0
"36",2020-02-26,22,0
"37",2020-02-27,23,1
"38",2020-02-28,23,0
"39",2020-02-29,25,2
"40",2020-03-01,29,4
"41",2020-03-02,29,0
"42",2020-03-03,36,7
"43",2020-03-04,50,14
"44",2020-03-05,50,0
"45",2020-03-06,83,33
"46",2020-03-07,93,10
"47",2020-03-08,99,6
"48",2020-03-09,117,18
"49",2020-03-10,129,12
"50",2020-03-11,149,20
"51",2020-03-12,149,0
"52",2020-03-13,197,48
"53",2020-03-14,238,41
"54",2020-03-15,428,190
"55",2020-03-16,566,138
"56",2020-03-17,673,107
"57",2020-03-18,790,117
"58",2020-03-19,900,110
"59",2020-03-20,1030,130
"60",2020-03-21,1183,153
"61",2020-03-22,1306,123
"62",2020-03-23,1518,212
"63",2020-03-24,1624,106
"64",2020-03-25,1796,172
"65",2020-03-26,2031,235
"66",2020-03-27,2161,130
"67",2020-03-28,2320,159
"68",2020-03-29,2470,150
"69",2020-03-30,2626,156
"70",2020-03-31,2766,140
"71",2020-04-01,2908,142
"72",2020-04-02,3116,208
"73",2020-04-03,3333,217
"74",2020-04-04,3483,150
"75",2020-04-05,3662,179
"76",2020-04-06,3793,131
"77",2020-04-07,3963,170
"78",2020-04-08,4119,156
"79",2020-04-09,4228,109
"80",2020-04-10,4346,118
"81",2020-04-11,4530,184
"82",2020-04-12,4683,153
"83",2020-04-13,4817,134
"84",2020-04-14,4987,170
"85",2020-04-15,5072,85
"86",2020-04-16,5182,110
"87",2020-04-17,5251,69
"88",2020-04-18,5305,54
"89",2020-04-19,5389,84
"90",2020-04-20,5425,36
"91",2020-04-21,5482,57
"92",2020-04-22,5532,50
"93",2020-04-23,5603,71
"94",2020-04-24,5691,88
"95",2020-04-25,5742,51
"96",2020-04-26,5780,38
"97",2020-04-27,5820,40
"98",2020-04-28,5851,31
"99",2020-04-29,5945,94
"100",2020-04-30,6002,57
"101",2020-05-01,6071,69
"102",2020-05-02,6176,105
"103",2020-05-03,6298,122
"104",2020-05-04,6353,55
"105",2020-05-05,6383,30
"106",2020-05-06,6428,45
"107",2020-05-07,6467,39
"108",2020-05-08,6535,68
"109",2020-05-09,6589,54
"110",2020-05-10,6656,67
"111",2020-05-11,6726,70
"112",2020-05-12,6742,16
"113",2020-05-13,6779,37
"114",2020-05-14,6819,40
"115",2020-05-15,6855,36
"116",2020-05-16,6872,17
"117",2020-05-17,6894,22
"118",2020-05-18,6941,47
"119",2020-05-19,6978,37
"120",2020-05-20,7009,31
"121",2020-05-21,7059,50
"122",2020-05-22,7137,78
"123",2020-05-23,7185,48
"124",2020-05-24,7245,60
"125",2020-05-25,7417,172
"126",2020-05-26,7604,187
"127",2020-05-27,7619,15
"128",2020-05-28,7629,10
"129",2020-05-29,7732,103
"130",2020-05-30,7762,30
"131",2020-05-31,7819,57
"132",2020-06-01,7857,38
