"","Date","Cumulative.Recovers","Daily.Recovers"
"1",2020-01-22,0,NA
"2",2020-01-23,0,0
"3",2020-01-24,0,0
"4",2020-01-25,0,0
"5",2020-01-26,0,0
"6",2020-01-27,0,0
"7",2020-01-28,0,0
"8",2020-01-29,0,0
"9",2020-01-30,0,0
"10",2020-01-31,0,0
"11",2020-02-01,0,0
"12",2020-02-02,0,0
"13",2020-02-03,0,0
"14",2020-02-04,0,0
"15",2020-02-05,0,0
"16",2020-02-06,0,0
"17",2020-02-07,1,1
"18",2020-02-08,1,0
"19",2020-02-09,1,0
"20",2020-02-10,1,0
"21",2020-02-11,3,2
"22",2020-02-12,3,0
"23",2020-02-13,3,0
"24",2020-02-14,3,0
"25",2020-02-15,7,4
"26",2020-02-16,7,0
"27",2020-02-17,7,0
"28",2020-02-18,13,6
"29",2020-02-19,15,2
"30",2020-02-20,15,0
"31",2020-02-21,15,0
"32",2020-02-22,15,0
"33",2020-02-23,15,0
"34",2020-02-24,18,3
"35",2020-02-25,18,0
"36",2020-02-26,18,0
"37",2020-02-27,18,0
"38",2020-02-28,18,0
"39",2020-02-29,18,0
"40",2020-03-01,18,0
"41",2020-03-02,18,0
"42",2020-03-03,22,4
"43",2020-03-04,22,0
"44",2020-03-05,22,0
"45",2020-03-06,22,0
"46",2020-03-07,23,1
"47",2020-03-08,24,1
"48",2020-03-09,24,0
"49",2020-03-10,24,0
"50",2020-03-11,26,2
"51",2020-03-12,26,0
"52",2020-03-13,26,0
"53",2020-03-14,35,9
"54",2020-03-15,42,7
"55",2020-03-16,42,0
"56",2020-03-17,49,7
"57",2020-03-18,60,11
"58",2020-03-19,75,15
"59",2020-03-20,87,12
"60",2020-03-21,114,27
"61",2020-03-22,139,25
"62",2020-03-23,139,0
"63",2020-03-24,183,44
"64",2020-03-25,199,16
"65",2020-03-26,215,16
"66",2020-03-27,259,44
"67",2020-03-28,320,61
"68",2020-03-29,388,68
"69",2020-03-30,479,91
"70",2020-03-31,537,58
"71",2020-04-01,645,108
"72",2020-04-02,767,122
"73",2020-04-03,827,60
"74",2020-04-04,915,88
"75",2020-04-05,1005,90
"76",2020-04-06,1241,236
"77",2020-04-07,1321,80
"78",2020-04-08,1487,166
"79",2020-04-09,1608,121
"80",2020-04-10,1830,222
"81",2020-04-11,1995,165
"82",2020-04-12,2108,113
"83",2020-04-13,2276,168
"84",2020-04-14,2478,202
"85",2020-04-15,2647,169
"86",2020-04-16,2766,119
"87",2020-04-17,2967,201
"88",2020-04-18,3102,135
"89",2020-04-19,3197,95
"90",2020-04-20,3295,98
"91",2020-04-21,3349,54
"92",2020-04-22,3452,103
"93",2020-04-23,3542,90
"94",2020-04-24,3663,121
"95",2020-04-25,3762,99
"96",2020-04-26,3862,100
"97",2020-04-27,3957,95
"98",2020-04-28,4032,75
"99",2020-04-29,4087,55
"100",2020-04-30,4171,84
"101",2020-05-01,4210,39
"102",2020-05-02,4326,116
"103",2020-05-03,4413,87
"104",2020-05-04,4484,71
"105",2020-05-05,4567,83
"106",2020-05-06,4702,135
"107",2020-05-07,4776,74
"108",2020-05-08,4864,88
"109",2020-05-09,4929,65
"110",2020-05-10,5025,96
"111",2020-05-11,5113,88
"112",2020-05-12,5223,110
"113",2020-05-13,5281,58
"114",2020-05-14,5351,70
"115",2020-05-15,5439,88
"116",2020-05-16,5512,73
"117",2020-05-17,5571,59
"118",2020-05-18,5615,44
"119",2020-05-19,5646,31
"120",2020-05-20,5706,60
"121",2020-05-21,5796,90
"122",2020-05-22,5859,63
"123",2020-05-23,5912,53
"124",2020-05-24,5945,33
"125",2020-05-25,5979,34
"126",2020-05-26,6041,62
"127",2020-05-27,6083,42
"128",2020-05-28,6169,86
"129",2020-05-29,6235,66
"130",2020-05-30,6330,95
"131",2020-05-31,6353,23
"132",2020-06-01,6404,51
"133",2020-06-02,6470,66
