"","Date","Cumulative.Cases","Daily.Cases","Cumulative.Recovers","Daily.Recovers","Cumulative.Deaths","Daily.Deaths","Active.Cases"
"1",2020-01-22,0,NA,0,NA,0,NA,0
"2",2020-01-23,0,0,0,0,0,0,0
"3",2020-01-24,0,0,0,0,0,0,0
"4",2020-01-25,3,3,0,0,0,0,3
"5",2020-01-26,4,1,0,0,0,0,4
"6",2020-01-27,4,0,0,0,0,0,4
"7",2020-01-28,4,0,0,0,0,0,4
"8",2020-01-29,7,3,0,0,0,0,7
"9",2020-01-30,8,1,0,0,0,0,8
"10",2020-01-31,8,0,0,0,0,0,8
"11",2020-02-01,8,0,0,0,0,0,8
"12",2020-02-02,8,0,0,0,0,0,8
"13",2020-02-03,8,0,0,0,0,0,8
"14",2020-02-04,10,2,0,0,0,0,10
"15",2020-02-05,12,2,0,0,0,0,12
"16",2020-02-06,12,0,0,0,0,0,12
"17",2020-02-07,12,0,1,1,0,0,11
"18",2020-02-08,16,4,1,0,0,0,15
"19",2020-02-09,16,0,1,0,0,0,15
"20",2020-02-10,18,2,1,0,0,0,17
"21",2020-02-11,18,0,3,2,0,0,15
"22",2020-02-12,18,0,3,0,0,0,15
"23",2020-02-13,19,1,3,0,0,0,16
"24",2020-02-14,19,0,3,0,0,0,16
"25",2020-02-15,22,3,7,4,0,0,15
"26",2020-02-16,22,0,7,0,0,0,15
"27",2020-02-17,22,0,7,0,0,0,15
"28",2020-02-18,22,0,13,6,0,0,9
"29",2020-02-19,22,0,15,2,0,0,7
"30",2020-02-20,22,0,15,0,0,0,7
"31",2020-02-21,22,0,15,0,0,0,7
"32",2020-02-22,22,0,15,0,0,0,7
"33",2020-02-23,22,0,15,0,0,0,7
"34",2020-02-24,22,0,18,3,0,0,4
"35",2020-02-25,22,0,18,0,0,0,4
"36",2020-02-26,22,0,18,0,0,0,4
"37",2020-02-27,23,1,18,0,0,0,5
"38",2020-02-28,23,0,18,0,0,0,5
"39",2020-02-29,25,2,18,0,0,0,7
"40",2020-03-01,29,4,18,0,0,0,11
"41",2020-03-02,29,0,18,0,0,0,11
"42",2020-03-03,36,7,22,4,0,0,14
"43",2020-03-04,50,14,22,0,0,0,28
"44",2020-03-05,50,0,22,0,0,0,28
"45",2020-03-06,83,33,22,0,0,0,61
"46",2020-03-07,93,10,23,1,0,0,70
"47",2020-03-08,99,6,24,1,0,0,75
"48",2020-03-09,117,18,24,0,0,0,93
"49",2020-03-10,129,12,24,0,0,0,105
"50",2020-03-11,149,20,26,2,0,0,123
"51",2020-03-12,149,0,26,0,0,0,123
"52",2020-03-13,197,48,26,0,0,0,171
"53",2020-03-14,238,41,35,9,0,0,203
"54",2020-03-15,428,190,42,7,0,0,386
